time	wsp	wdir
0:0:4	6.30	45
0:0:7	8.10	45
0:0:10	8.10	44
0:0:13	7.20	45
0:0:16	8.10	44
0:0:19	7.20	45
0:0:22	8.10	44
0:0:25	8.10	44
0:0:28	8.10	45
0:0:31	7.20	45
0:0:34	8.10	44
0:0:37	7.20	44
0:0:40	7.20	45
0:0:43	8.10	45
0:0:46	8.10	45
0:0:49	8.10	44
0:0:52	7.20	45
0:0:55	8.10	45
0:0:58	7.20	45
0:1:1	8.10	45
0:1:4	8.10	45
0:1:7	7.20	44
0:1:10	8.10	44
0:1:13	7.20	45
0:1:16	8.10	45
0:1:19	8.10	45
0:1:22	8.10	45
0:1:25	7.20	44
0:1:28	7.20	44
0:1:31	8.10	44
0:1:34	7.20	44
0:1:37	8.10	44
0:1:40	7.20	44
0:1:43	7.20	44
0:1:46	8.10	45
0:1:49	8.10	44
0:1:52	7.20	44
0:1:55	8.10	45
0:1:58	8.10	45
0:2:1	7.20	45
0:2:4	8.10	44
0:2:7	8.10	44
0:2:10	7.20	44
0:2:13	8.10	44
0:2:16	7.20	44
0:2:19	7.20	44
0:2:22	8.10	44
0:2:25	7.20	44
0:2:28	7.20	45
0:2:31	7.20	45
0:2:34	8.10	45
0:2:37	7.20	44
0:2:40	7.20	44
0:2:43	7.20	44
0:2:46	8.10	44
0:2:49	7.20	44
0:2:52	8.10	45
0:2:55	7.20	44
0:2:58	8.10	44
0:3:1	7.20	44
0:3:4	8.10	45
0:3:7	8.10	44
0:3:10	7.20	44
0:3:13	7.20	44
0:3:16	7.20	45
0:3:19	7.20	44
0:3:22	7.20	45
0:3:25	7.20	45
0:3:28	7.20	44
0:3:31	7.20	45
0:3:34	7.20	44
0:3:37	7.20	44
0:3:40	7.20	45
0:3:43	7.20	44
0:3:46	7.20	44
0:3:49	8.10	45
0:3:52	7.20	44
0:3:55	7.20	44
0:3:58	7.20	44
0:4:1	7.20	44
0:4:4	7.20	45
0:4:7	8.10	44
0:4:10	7.20	43
0:4:13	7.20	44
0:4:16	7.20	44
0:4:19	7.20	44
0:4:22	7.20	44
0:4:25	8.10	44
0:4:28	7.20	45
0:4:31	7.20	44
0:4:34	7.20	44
0:4:37	7.20	45
0:4:40	7.20	44
0:4:43	7.20	45
0:4:46	7.20	45
0:4:49	7.20	45
0:4:52	8.10	44
0:4:55	7.20	44
0:4:58	7.20	44
0:5:1	8.10	44
0:5:4	7.20	43
0:5:7	7.20	45
0:5:10	7.20	44
0:5:13	7.20	44
0:5:16	7.20	44
0:5:19	7.20	45
0:5:22	4.50	44
0:5:25	2.70	44
0:5:28	1.80	45
0:5:31	4.50	45
0:5:34	5.40	44
0:5:37	5.40	44
0:5:40	6.30	44
0:5:43	5.40	44
0:5:46	5.40	44
0:5:49	5.40	44
0:5:52	5.40	44
0:5:55	5.40	44
0:5:58	6.30	44
0:6:1	5.40	44
0:6:4	5.40	44
0:6:7	5.40	45
0:6:10	5.40	44
0:6:13	6.30	44
0:6:16	5.40	44
0:6:19	5.40	44
0:6:22	5.40	45
0:6:25	6.30	44
0:6:28	5.40	45
0:6:31	6.30	44
0:6:34	5.40	44
0:6:37	5.40	44
0:6:40	6.30	44
0:6:43	5.40	44
0:6:46	5.40	45
0:6:49	5.40	44
0:6:52	6.30	44
0:6:55	5.40	45
0:6:58	4.50	44
0:7:1	5.40	44
0:7:4	5.40	45
0:7:7	5.40	45
0:7:10	5.40	44
0:7:13	5.40	45
0:7:16	6.30	45
0:7:19	5.40	45
0:7:22	6.30	45
0:7:25	6.30	45
0:7:28	4.50	44
0:7:31	5.40	45
0:7:34	5.40	44
0:7:37	6.30	45
0:7:40	5.40	44
0:7:43	5.40	45
