time	wsp	wdir
0:7:37	9.90	338
0:7:40	9.00	338
0:7:43	9.00	338
0:7:46	9.00	338
0:7:49	9.00	338
0:7:52	9.00	338
0:7:55	9.00	338
0:7:58	9.00	339
0:8:1	9.00	338
0:8:4	8.10	338
0:8:7	9.00	338
0:8:10	9.00	338
0:8:13	9.00	338
0:8:16	9.00	338
0:8:19	9.00	338
0:8:22	9.00	338
0:8:25	9.90	338
0:8:28	9.00	338
0:8:31	9.90	338
0:8:34	9.00	338
0:8:37	9.00	338
0:8:40	9.00	338
0:8:43	9.00	338
0:8:46	9.00	339
0:8:49	8.10	338
0:8:52	9.00	338
0:8:55	9.00	338
0:8:58	8.10	338
0:9:1	9.00	339
0:9:4	8.10	338
0:9:7	9.00	338
0:9:10	9.00	338
0:9:13	9.00	338
0:9:16	8.10	338
0:9:19	9.00	338
0:9:22	9.00	338
0:9:25	9.00	338
0:9:28	8.10	338
0:9:31	9.00	338
0:9:34	8.10	338
0:9:37	9.00	338
0:9:40	9.00	338
0:9:43	8.10	338
0:9:46	8.10	339
0:9:49	9.00	338
0:9:52	9.00	338
0:9:55	9.00	338
0:9:58	9.00	338
0:10:1	9.00	339
0:10:4	9.00	338
0:10:7	9.90	338
0:10:10	8.10	338
0:10:13	7.20	339
0:10:16	6.30	339
0:10:19	6.30	339
0:10:22	7.20	339
0:10:25	6.30	338
0:10:28	6.30	338
0:10:31	6.30	338
0:10:34	6.30	338
0:10:37	5.40	338
0:10:40	6.30	338
0:10:43	6.30	338
0:10:46	6.30	338
0:10:49	6.30	338
0:10:52	6.30	338
0:10:55	6.30	338
0:10:58	6.30	338
0:11:1	6.30	338
0:11:4	5.40	338
0:11:7	6.30	338
0:11:10	6.30	338
0:11:13	5.40	338
0:11:16	6.30	338
0:11:19	6.30	338
0:11:22	6.30	338
0:11:25	5.40	338
0:11:28	6.30	338
0:11:31	5.40	338
0:11:34	6.30	338
0:11:37	5.40	338
0:11:40	6.30	338
0:11:43	6.30	338
0:11:46	6.30	338
0:11:49	5.40	338
0:11:52	6.30	338
0:11:55	6.30	338
0:11:58	5.40	338
0:12:1	6.30	338
0:12:4	6.30	338
0:12:7	7.20	338
0:12:10	6.30	338
0:12:13	6.30	338
0:12:16	5.40	338
0:12:19	6.30	338
0:12:22	6.30	338
0:12:25	6.30	338
0:12:28	7.20	338
0:12:31	6.30	338
0:12:34	6.30	338
0:12:37	7.20	338
0:12:40	6.30	338
0:12:43	6.30	338
0:12:46	6.30	338
0:12:49	6.30	338
0:12:52	6.30	339
0:12:55	7.20	338
0:12:58	6.30	339
0:13:1	6.30	338
0:13:4	6.30	338
0:13:7	6.30	338
0:13:10	7.20	338
0:13:13	6.30	338
0:13:16	6.30	338
0:13:19	6.30	338
0:13:22	6.30	338
0:13:25	6.30	338
0:13:28	6.30	338
0:13:31	6.30	338
0:13:34	6.30	338
0:13:37	6.30	338
0:13:40	6.30	339
0:13:43	6.30	338
0:13:46	5.40	338
0:13:49	6.30	338
