time	wsp	wdir
0:0:3	5.40	32
0:0:6	9.00	31
0:0:9	9.00	32
0:0:12	8.10	32
0:0:15	9.00	33
0:0:18	8.10	32
0:0:21	9.00	33
0:0:24	8.10	33
0:0:27	8.10	33
0:0:30	9.00	32
0:0:33	8.10	32
0:0:36	8.10	32
0:0:39	9.00	32
0:0:42	8.10	32
0:0:45	8.10	32
0:0:48	8.10	32
0:0:51	9.00	32
0:0:54	8.10	32
0:0:57	8.10	33
0:1:0	9.00	33
0:1:3	9.00	32
0:1:6	9.00	32
0:1:9	9.00	34
0:1:12	9.00	32
0:1:15	9.00	33
0:1:18	8.10	32
0:1:21	8.10	33
0:1:24	9.00	32
0:1:27	8.10	32
0:1:30	8.10	33
0:1:33	8.10	33
0:1:36	9.00	33
0:1:39	8.10	32
0:1:42	7.20	33
0:1:45	9.00	33
0:1:48	9.00	33
0:1:51	8.10	32
0:1:54	9.00	32
0:1:57	8.10	32
0:2:0	8.10	32
0:2:3	8.10	33
0:2:6	9.00	32
0:2:9	8.10	32
0:2:12	8.10	32
0:2:15	8.10	32
0:2:18	8.10	32
0:2:21	8.10	32
0:2:24	8.10	32
0:2:27	8.10	33
0:2:30	9.00	33
0:2:33	8.10	32
0:2:36	8.10	32
0:2:39	8.10	32
0:2:42	8.10	33
0:2:45	9.00	32
0:2:48	7.20	33
0:2:51	8.10	33
0:2:54	8.10	32
0:2:57	8.10	32
0:3:0	9.00	33
0:3:3	8.10	33
0:3:6	8.10	32
0:3:9	8.10	32
0:3:12	8.10	32
0:3:15	9.00	32
0:3:18	8.10	32
0:3:21	9.00	32
0:3:24	8.10	32
0:3:27	8.10	32
0:3:30	9.00	32
0:3:33	8.10	32
0:3:36	8.10	32
0:3:39	8.10	32
0:3:42	8.10	32
0:3:45	8.10	32
0:3:48	9.00	32
0:3:51	8.10	32
0:3:54	8.10	32
0:3:57	8.10	32
0:4:0	8.10	32
0:4:3	8.10	32
0:4:6	8.10	32
0:4:9	8.10	33
0:4:12	8.10	33
0:4:15	9.00	32
0:4:18	8.10	33
0:4:21	8.10	33
0:4:24	9.00	32
0:4:27	8.10	32
0:4:30	8.10	32
0:4:33	9.00	32
0:4:36	8.10	33
0:4:39	8.10	33
0:4:42	9.00	32
0:4:45	8.10	32
0:4:48	8.10	33
0:4:51	8.10	33
0:4:54	9.00	32
0:4:57	8.10	33
0:5:0	8.10	33
0:5:3	8.10	32
0:5:6	9.00	32
0:5:9	8.10	33
0:5:12	7.20	32
0:5:15	7.20	32
0:5:18	7.20	32
0:5:21	6.30	32
0:5:24	7.20	32
0:5:27	6.30	33
0:5:30	7.20	33
0:5:33	7.20	32
0:5:36	6.30	32
0:5:39	7.20	32
0:5:42	6.30	32
0:5:45	7.20	32
0:5:48	6.30	33
0:5:51	7.20	32
0:5:54	6.30	33
0:5:57	7.20	32
0:6:0	6.30	32
0:6:3	7.20	32
0:6:6	6.30	32
0:6:9	7.20	32
0:6:12	7.20	34
0:6:15	7.20	32
0:6:18	7.20	32
0:6:21	6.30	33
0:6:24	7.20	32
0:6:27	7.20	32
0:6:30	6.30	32
0:6:33	7.20	32
0:6:36	7.20	32
0:6:39	6.30	32
0:6:42	7.20	32
0:6:45	7.20	32
0:6:48	7.20	32
0:6:51	7.20	32
0:6:54	7.20	34
0:6:57	7.20	33
0:7:0	7.20	33
0:7:3	7.20	32
0:7:6	7.20	33
0:7:9	7.20	32
0:7:12	7.20	33
0:7:15	7.20	32
0:7:18	7.20	33
0:7:21	7.20	32
0:7:24	7.20	32
0:7:27	7.20	32
0:7:30	6.30	32
0:7:33	7.20	32
0:7:36	7.20	32
0:7:39	7.20	32
0:7:42	6.30	32
