time	wsp	wdir
0:13:18	4.50	358
0:13:21	4.50	358
0:13:24	4.50	359
0:13:27	4.50	358
0:13:30	4.50	358
0:13:33	4.50	358
0:13:36	4.50	359
0:13:39	4.50	358
0:13:42	4.50	358
0:13:45	4.50	358
0:13:48	4.50	358
0:13:51	4.50	358
0:13:54	4.50	358
0:13:57	4.50	358
0:14:0	4.50	358
0:14:3	4.50	358
0:14:6	4.50	357
0:14:9	4.50	357
0:14:12	4.50	357
0:14:15	4.50	357
0:14:18	4.50	358
0:14:21	4.50	357
0:14:24	4.50	357
0:14:27	4.50	357
0:14:30	4.50	357
0:14:33	4.50	357
0:14:36	4.50	358
0:14:39	4.50	357
0:14:42	5.40	357
0:14:45	4.50	357
0:14:48	4.50	357
0:14:51	4.50	358
0:14:54	4.50	358
0:14:57	4.50	357
0:15:0	4.50	357
0:15:3	4.50	358
0:15:6	4.50	358
0:15:9	4.50	358
0:15:12	4.50	358
0:15:15	5.40	358
0:15:18	4.50	358
0:15:21	4.50	358
0:15:24	5.40	358
0:15:27	4.50	357
0:15:30	4.50	357
0:15:33	4.50	358
0:15:36	4.50	358
0:15:39	4.50	357
0:15:42	4.50	357
0:15:45	4.50	357
0:15:48	4.50	357
0:15:51	5.40	357
0:15:54	4.50	357
0:15:57	4.50	357
0:16:0	5.40	357
0:16:3	4.50	358
0:16:6	4.50	357
0:16:9	4.50	358
