time	wsp	wdir
0:0:4	9.00	345
0:0:7	9.90	346
0:0:10	9.90	345
0:0:13	9.90	346
0:0:16	9.90	345
0:0:19	10.80	346
0:0:22	9.90	346
0:0:25	9.90	346
0:0:28	10.80	346
0:0:31	9.90	346
0:0:34	10.80	346
0:0:37	9.90	346
0:0:40	9.90	345
0:0:43	10.80	345
0:0:46	9.90	345
0:0:49	10.80	345
0:0:52	10.80	346
0:0:55	10.80	345
0:0:58	9.90	346
0:1:1	9.90	345
0:1:4	10.80	346
0:1:7	9.90	345
0:1:10	9.90	345
0:1:13	9.90	346
0:1:16	10.80	346
0:1:19	9.90	346
0:1:22	10.80	346
0:1:25	9.90	345
0:1:28	10.80	345
0:1:31	10.80	347
0:1:34	10.80	346
0:1:37	10.80	346
0:1:40	10.80	344
0:1:43	11.70	344
0:1:46	9.90	344
0:1:49	10.80	346
0:1:52	9.90	346
0:1:55	10.80	345
0:1:58	9.90	345
0:2:1	9.90	345
0:2:4	9.90	345
0:2:7	10.80	346
0:2:10	9.90	346
0:2:13	10.80	346
0:2:16	9.90	344
0:2:19	10.80	346
0:2:22	9.90	346
0:2:25	9.90	346
0:2:28	10.80	345
0:2:31	9.90	346
0:2:34	10.80	345
0:2:37	9.90	345
0:2:40	10.80	345
0:2:43	10.80	345
0:2:46	10.80	346
0:2:49	11.70	346
0:2:52	9.90	345
0:2:55	10.80	345
0:2:58	11.70	344
0:3:1	10.80	346
0:3:4	10.80	346
0:3:7	10.80	345
0:3:10	10.80	345
0:3:13	9.90	346
0:3:16	9.90	346
0:3:19	10.80	345
0:3:22	10.80	344
0:3:25	9.90	345
0:3:28	10.80	345
0:3:31	9.90	346
0:3:34	9.90	345
0:3:37	10.80	345
0:3:40	9.90	346
0:3:43	10.80	346
0:3:46	9.90	346
0:3:49	9.90	345
0:3:52	10.80	345
0:3:55	10.80	345
0:3:58	10.80	345
0:4:1	10.80	345
0:4:4	9.90	344
0:4:7	10.80	345
0:4:10	10.80	345
0:4:13	10.80	345
0:4:16	10.80	346
0:4:19	9.90	346
0:4:22	9.90	346
0:4:25	10.80	346
0:4:28	9.90	346
0:4:31	9.90	346
0:4:34	9.90	344
0:4:37	9.90	346
0:4:40	9.90	346
0:4:43	9.90	345
0:4:46	10.80	344
0:4:49	9.90	346
0:4:52	10.80	346
0:4:55	10.80	346
0:4:58	9.90	345
0:5:1	10.80	345
0:5:4	9.90	346
0:5:7	10.80	345
0:5:10	10.80	346
0:5:13	10.80	344
0:5:16	9.90	346
0:5:19	10.80	344
0:5:22	9.90	346
0:5:25	9.90	346
0:5:28	8.10	346
0:5:31	9.00	346
0:5:34	8.10	346
0:5:37	9.00	345
0:5:40	9.00	345
0:5:43	9.00	346
0:5:46	9.00	345
0:5:49	8.10	345
0:5:52	9.00	344
0:5:55	9.90	345
0:5:58	9.90	345
0:6:1	9.00	345
0:6:4	8.10	346
0:6:7	9.00	346
0:6:10	8.10	346
0:6:13	9.00	345
0:6:16	9.00	345
0:6:19	9.00	345
0:6:22	9.90	345
0:6:25	9.90	346
0:6:28	9.00	346
0:6:31	9.00	346
0:6:34	9.00	346
0:6:37	9.00	345
0:6:40	9.00	345
0:6:43	8.10	345
0:6:46	9.00	346
0:6:49	8.10	345
0:6:52	8.10	345
0:6:55	8.10	345
0:6:58	9.00	346
0:7:1	9.00	345
0:7:4	9.00	345
0:7:7	8.10	346
0:7:10	9.00	346
0:7:13	9.00	345
0:7:16	9.00	346
0:7:19	8.10	344
0:7:22	8.10	345
0:7:25	8.10	346
0:7:28	8.10	345
0:7:31	8.10	346
0:7:34	8.10	346
0:7:37	9.00	347
0:7:40	9.00	345
0:7:43	8.10	344
0:7:46	8.10	346
0:7:49	8.10	345
0:7:52	8.10	345
0:7:55	8.10	345
0:7:58	9.00	345
0:8:1	8.10	347
0:8:4	9.00	345
0:8:7	8.10	345
0:8:10	8.10	346
0:8:13	8.10	345
0:8:16	8.10	345
0:8:19	9.00	345
0:8:22	8.10	346
0:8:25	9.00	345
0:8:28	9.00	345
