time	wsp	wdir
0:0:3	6.30	346
0:0:6	9.00	347
0:0:9	9.00	347
0:0:12	9.00	346
0:0:15	9.90	347
0:0:18	9.00	347
0:0:21	9.00	346
0:0:24	9.00	347
0:0:27	9.00	347
0:0:30	9.00	347
0:0:33	9.00	347
0:0:36	9.00	347
0:0:39	9.90	347
0:0:42	9.90	346
0:0:45	9.00	346
0:0:48	9.90	347
0:0:51	9.90	345
0:0:54	10.80	346
0:0:57	9.90	346
0:1:0	9.90	347
0:1:3	9.90	346
0:1:6	9.90	347
0:1:9	9.00	347
0:1:12	8.10	346
0:1:15	9.00	347
0:1:18	9.00	346
0:1:21	9.00	347
0:1:24	9.90	346
0:1:27	9.00	346
0:1:30	9.90	346
0:1:33	9.90	346
0:1:36	9.00	346
0:1:39	9.90	346
0:1:42	9.00	347
0:1:45	9.90	347
0:1:48	9.00	346
0:1:51	9.00	346
0:1:54	8.10	346
0:1:57	9.90	347
0:2:0	9.00	346
0:2:3	9.00	346
0:2:6	9.00	346
0:2:9	9.00	346
0:2:12	9.90	346
0:2:15	9.00	346
0:2:18	9.90	345
0:2:21	9.00	346
0:2:24	9.00	346
0:2:27	9.90	347
0:2:30	10.80	345
0:2:33	9.90	345
0:2:36	9.90	347
0:2:39	9.00	344
0:2:42	9.90	347
0:2:45	9.90	345
0:2:48	9.00	346
0:2:51	9.00	346
0:2:54	9.90	347
0:2:57	9.00	346
0:3:0	9.00	347
0:3:3	9.00	346
0:3:6	9.00	346
0:3:9	9.00	346
0:3:12	9.90	347
0:3:15	9.00	346
0:3:18	9.00	346
0:3:21	9.00	346
0:3:24	9.00	346
0:3:27	9.00	346
0:3:30	9.90	346
0:3:33	9.00	347
0:3:36	9.90	346
0:3:39	9.00	346
0:3:42	9.00	346
0:3:45	9.90	346
0:3:48	8.10	346
0:3:51	9.90	346
0:3:54	9.00	346
0:3:57	9.00	346
0:4:0	9.90	346
0:4:3	9.00	347
0:4:6	9.00	346
0:4:9	9.00	347
0:4:12	9.00	346
0:4:15	9.00	346
0:4:18	9.90	346
0:4:21	9.90	346
0:4:24	9.00	345
0:4:27	9.90	346
0:4:30	9.00	346
0:4:33	9.90	345
0:4:36	9.00	347
0:4:39	9.00	347
0:4:42	8.10	346
0:4:45	9.00	346
0:4:48	9.00	346
0:4:51	9.00	346
0:4:54	9.00	346
0:4:57	9.00	347
0:5:0	9.90	347
0:5:3	9.00	346
0:5:6	8.10	346
0:5:9	8.10	346
0:5:12	8.10	346
0:5:15	8.10	346
0:5:18	8.10	346
0:5:21	8.10	346
0:5:24	7.20	346
0:5:27	8.10	346
0:5:30	8.10	346
0:5:33	7.20	346
0:5:36	7.20	346
0:5:39	7.20	346
0:5:42	8.10	346
0:5:45	7.20	346
0:5:48	7.20	346
0:5:51	8.10	346
0:5:54	7.20	346
0:5:57	7.20	346
0:6:0	8.10	346
0:6:3	7.20	346
0:6:6	7.20	346
0:6:9	7.20	346
0:6:12	8.10	346
0:6:15	7.20	346
0:6:18	7.20	346
0:6:21	8.10	346
0:6:24	7.20	346
0:6:27	8.10	346
0:6:30	8.10	346
0:6:33	9.00	346
0:6:36	7.20	346
0:6:39	8.10	346
0:6:42	7.20	346
0:6:45	8.10	346
0:6:48	7.20	345
0:6:51	8.10	346
0:6:54	7.20	346
0:6:57	7.20	346
0:7:0	7.20	346
0:7:3	8.10	346
0:7:6	8.10	346
0:7:9	7.20	346
0:7:12	8.10	346
0:7:15	7.20	346
0:7:18	8.10	346
0:7:21	7.20	346
0:7:24	7.20	346
0:7:27	7.20	346
0:7:30	8.10	346
0:7:33	7.20	346
0:7:36	9.00	346
