time	wsp	wdir
0:0:4	8.10	345
0:0:7	9.90	345
0:0:10	9.90	345
0:0:13	10.80	345
0:0:16	9.90	345
0:0:19	9.90	346
0:0:22	10.80	346
0:0:25	10.80	345
0:0:28	10.80	345
0:0:31	11.70	345
0:0:34	11.70	345
0:0:37	11.70	346
0:0:40	10.80	346
0:0:43	10.80	346
0:0:46	10.80	346
0:0:49	9.90	346
0:0:52	11.70	346
0:0:55	10.80	346
0:0:58	9.90	346
0:1:1	10.80	344
0:1:4	10.80	345
0:1:7	11.70	346
0:1:10	10.80	345
0:1:13	10.80	344
0:1:16	10.80	345
0:1:19	9.90	345
0:1:22	10.80	346
0:1:25	9.90	346
0:1:28	9.90	345
0:1:31	10.80	345
0:1:34	10.80	345
0:1:37	10.80	346
0:1:40	9.90	344
0:1:43	9.90	345
0:1:46	10.80	345
0:1:49	9.90	345
0:1:52	10.80	345
0:1:55	10.80	346
0:1:58	10.80	345
0:2:1	9.90	345
0:2:4	10.80	344
0:2:7	10.80	346
0:2:10	10.80	345
0:2:13	9.90	345
0:2:16	11.70	346
0:2:19	9.90	346
0:2:22	11.70	345
0:2:25	10.80	344
0:2:28	10.80	346
0:2:31	9.90	344
0:2:34	10.80	344
0:2:37	9.90	344
0:2:40	10.80	346
0:2:43	10.80	345
0:2:46	10.80	345
0:2:49	9.90	345
0:2:52	10.80	345
0:2:55	10.80	346
0:2:58	11.70	345
0:3:1	10.80	345
0:3:4	9.90	346
0:3:7	10.80	346
0:3:10	10.80	345
0:3:13	10.80	345
0:3:16	9.90	345
0:3:19	10.80	346
0:3:22	10.80	346
0:3:25	9.90	345
0:3:28	10.80	346
0:3:31	9.90	344
0:3:34	10.80	346
0:3:37	9.90	345
0:3:40	10.80	345
0:3:43	10.80	345
0:3:46	9.90	345
0:3:49	11.70	344
0:3:52	10.80	346
0:3:55	10.80	345
0:3:58	11.70	344
0:4:1	9.90	344
0:4:4	10.80	346
0:4:7	11.70	344
0:4:10	11.70	344
