time	wsp	wdir
0:13:19	5.40	338
0:13:22	5.40	338
0:13:25	4.50	338
0:13:28	5.40	338
0:13:31	5.40	338
0:13:34	4.50	338
0:13:37	4.50	338
0:13:40	5.40	338
0:13:43	4.50	338
0:13:46	5.40	338
0:13:49	5.40	338
0:13:52	4.50	338
0:13:55	4.50	338
0:13:58	5.40	338
0:14:1	6.30	338
0:14:4	5.40	338
0:14:7	5.40	338
0:14:10	5.40	338
0:14:13	5.40	338
0:14:16	4.50	338
0:14:19	5.40	338
0:14:22	5.40	338
0:14:25	4.50	338
0:14:28	5.40	338
0:14:31	5.40	338
0:14:34	4.50	338
0:14:37	5.40	338
0:14:40	5.40	338
0:14:43	5.40	338
0:14:46	5.40	338
0:14:49	5.40	338
0:14:52	4.50	338
0:14:55	5.40	338
0:14:58	5.40	338
0:15:1	5.40	338
0:15:4	4.50	338
0:15:7	5.40	338
0:15:10	5.40	338
0:15:13	4.50	338
0:15:16	5.40	338
0:15:19	5.40	338
0:15:22	4.50	338
0:15:25	5.40	338
0:15:28	5.40	338
